PId,University,IDE,App,Hours
1,Stanford,Nobugs,2,5.31
1,Stanford,Nobugs,3,5.03
1,Stanford,Nobugs,4,3.74
2,Stanford,Nobugs,1,5.53
2,Stanford,Nobugs,2,6.65
2,Stanford,Nobugs,3,4.58
2,Stanford,Nobugs,4,5.09
3,Stanford,Nobugs,1,6.69
3,Stanford,Nobugs,2,6.13
3,Stanford,Nobugs,3,9.57
3,Stanford,Nobugs,4,7.3
4,Stanford,Nobugs,1,9.55
4,Stanford,Nobugs,2,7.9
4,Stanford,Nobugs,3,9.87
4,Stanford,Nobugs,4,4.87
5,Stanford,Nobugs,1,7.06
5,Stanford,Nobugs,2,7
5,Stanford,Nobugs,3,5.44
5,Stanford,Nobugs,4,6.48
6,Stanford,Nobugs,1,4.74
6,Stanford,Nobugs,2,4.6
6,Stanford,Nobugs,3,3.11
6,Stanford,Nobugs,4,8.91
7,Stanford,Nobugs,1,9.03
7,Stanford,Nobugs,2,4.13
7,Stanford,Nobugs,3,8.08
7,Stanford,Nobugs,4,7.71
8,Stanford,Nobugs,1,6.3
8,Stanford,Nobugs,2,7.03
8,Stanford,Nobugs,3,4.33
8,Stanford,Nobugs,4,9.86
9,Stanford,Nobugs,1,8.03
9,Stanford,Nobugs,2,4.94
9,Stanford,Nobugs,3,8.09
9,Stanford,Nobugs,4,10.87
10,Stanford,Nobugs,1,4.81
10,Stanford,Nobugs,2,7.74
10,Stanford,Nobugs,3,6.33
10,Stanford,Nobugs,4,6.23
11,Stanford,VStudio,1,5.69
11,Stanford,VStudio,2,4.55
11,Stanford,VStudio,3,6.28
11,Stanford,VStudio,4,9.72
12,Stanford,VStudio,1,6.01
12,Stanford,VStudio,2,15.39
12,Stanford,VStudio,3,6.78
12,Stanford,VStudio,4,11.93
13,Stanford,VStudio,1,6.36
13,Stanford,VStudio,2,4.63
13,Stanford,VStudio,3,8.39
13,Stanford,VStudio,4,11.81
14,Stanford,VStudio,1,3.71
14,Stanford,VStudio,2,10.5
14,Stanford,VStudio,3,4.35
14,Stanford,VStudio,4,14.42
15,Stanford,VStudio,1,8.77
15,Stanford,VStudio,2,10.8
15,Stanford,VStudio,3,8.59
15,Stanford,VStudio,4,6.36
16,Stanford,VStudio,1,4.45
16,Stanford,VStudio,2,10.57
16,Stanford,VStudio,3,9.81
16,Stanford,VStudio,4,5.96
17,Stanford,VStudio,1,9.39
17,Stanford,VStudio,2,5.86
17,Stanford,VStudio,3,10.46
17,Stanford,VStudio,4,7.63
18,Stanford,VStudio,1,10.72
18,Stanford,VStudio,2,7.39
18,Stanford,VStudio,3,2.76
18,Stanford,VStudio,4,9.79
19,Stanford,VStudio,1,7.32
19,Stanford,VStudio,2,5.88
19,Stanford,VStudio,3,6.17
19,Stanford,VStudio,4,12.87
20,Stanford,VStudio,1,6.21
20,Stanford,VStudio,2,3.34
20,Stanford,VStudio,3,5.97
20,Stanford,VStudio,4,2.74
1,CMU,Nobugs,1,4.9
1,CMU,Nobugs,2,6.87
1,CMU,Nobugs,3,7.51
1,CMU,Nobugs,4,8.61
2,CMU,Nobugs,1,4.26
2,CMU,Nobugs,2,8.43
2,CMU,Nobugs,3,7.45
2,CMU,Nobugs,4,7.52
3,CMU,Nobugs,1,5.2
3,CMU,Nobugs,2,5.48
3,CMU,Nobugs,3,7.17
3,CMU,Nobugs,4,6.68
4,CMU,Nobugs,1,6.32
4,CMU,Nobugs,2,8.26
4,CMU,Nobugs,3,5.61
4,CMU,Nobugs,4,5.7
5,CMU,Nobugs,1,7
5,CMU,Nobugs,2,6.51
5,CMU,Nobugs,3,8.26
5,CMU,Nobugs,4,6.34
6,CMU,Nobugs,1,3.72
6,CMU,Nobugs,2,8.17
6,CMU,Nobugs,3,7.81
6,CMU,Nobugs,4,10.89
7,CMU,Nobugs,1,3.43
7,CMU,Nobugs,2,5.02
7,CMU,Nobugs,3,10.52
7,CMU,Nobugs,4,9.68
8,CMU,Nobugs,1,5.1
8,CMU,Nobugs,2,7.44
8,CMU,Nobugs,3,10.05
8,CMU,Nobugs,4,5.44
9,CMU,Nobugs,1,4.45
9,CMU,Nobugs,2,5.51
9,CMU,Nobugs,3,5.25
9,CMU,Nobugs,4,4.22
10,CMU,Nobugs,1,3.34
10,CMU,Nobugs,2,8.38
10,CMU,Nobugs,3,4.88
10,CMU,Nobugs,4,7.22
11,CMU,VStudio,1,5.07
11,CMU,VStudio,2,8.92
11,CMU,VStudio,3,11.39
11,CMU,VStudio,4,6.09
12,CMU,VStudio,1,13.51
12,CMU,VStudio,2,15.64
12,CMU,VStudio,3,2.59
12,CMU,VStudio,4,7.88
13,CMU,VStudio,1,17.45
13,CMU,VStudio,2,6.71
13,CMU,VStudio,3,14.16
13,CMU,VStudio,4,10.55
14,CMU,VStudio,1,20.07
14,CMU,VStudio,2,5.03
14,CMU,VStudio,3,11.11
14,CMU,VStudio,4,4.71
15,CMU,VStudio,1,7.27
15,CMU,VStudio,2,5.54
15,CMU,VStudio,3,4.98
15,CMU,VStudio,4,9.46
16,CMU,VStudio,1,7.85
16,CMU,VStudio,2,14.51
16,CMU,VStudio,3,6.07
16,CMU,VStudio,4,13.01
17,CMU,VStudio,1,13.71
17,CMU,VStudio,2,2.93
17,CMU,VStudio,3,10.34
17,CMU,VStudio,4,23.39
18,CMU,VStudio,1,5.03
18,CMU,VStudio,2,5.06
18,CMU,VStudio,3,8.3
18,CMU,VStudio,4,6.82
19,CMU,VStudio,1,4.01
19,CMU,VStudio,2,17.19
19,CMU,VStudio,3,6.82
19,CMU,VStudio,4,8.41
20,CMU,VStudio,1,9.87
20,CMU,VStudio,2,9.62
20,CMU,VStudio,3,3.37
20,CMU,VStudio,4,10.75
1,Toronto,Nobugs,1,4.77
1,Toronto,Nobugs,2,9.19
1,Toronto,Nobugs,3,7.98
1,Toronto,Nobugs,4,4.97
2,Toronto,Nobugs,1,4.63
2,Toronto,Nobugs,2,5.35
2,Toronto,Nobugs,3,7.42
2,Toronto,Nobugs,4,6.85
3,Toronto,Nobugs,1,7.78
3,Toronto,Nobugs,2,14.33
3,Toronto,Nobugs,3,3.77
3,Toronto,Nobugs,4,6.02
4,Toronto,Nobugs,1,6.58
4,Toronto,Nobugs,2,18.48
4,Toronto,Nobugs,3,6.54
4,Toronto,Nobugs,4,6.4
5,Toronto,Nobugs,1,11.69
5,Toronto,Nobugs,2,6.06
5,Toronto,Nobugs,3,4.21
5,Toronto,Nobugs,4,4.73
6,Toronto,Nobugs,1,6.15
6,Toronto,Nobugs,2,8.38
6,Toronto,Nobugs,3,3.05
6,Toronto,Nobugs,4,9.49
7,Toronto,Nobugs,1,8.14
7,Toronto,Nobugs,2,16.76
7,Toronto,Nobugs,3,3.5
7,Toronto,Nobugs,4,7.61
8,Toronto,Nobugs,1,7.11
8,Toronto,Nobugs,2,9.59
8,Toronto,Nobugs,3,5.85
8,Toronto,Nobugs,4,9.83
9,Toronto,Nobugs,1,10.13
9,Toronto,Nobugs,2,7.78
9,Toronto,Nobugs,3,4.24
9,Toronto,Nobugs,4,5.38
10,Toronto,Nobugs,1,5.65
10,Toronto,Nobugs,2,5.14
10,Toronto,Nobugs,3,8.24
10,Toronto,Nobugs,4,5.4
11,Toronto,VStudio,1,11
11,Toronto,VStudio,2,7.15
11,Toronto,VStudio,3,9.85
11,Toronto,VStudio,4,8.17
12,Toronto,VStudio,1,15.12
12,Toronto,VStudio,2,10.47
12,Toronto,VStudio,3,5.49
12,Toronto,VStudio,4,5.76
13,Toronto,VStudio,1,8.14
13,Toronto,VStudio,2,5.27
13,Toronto,VStudio,3,6.89
13,Toronto,VStudio,4,4.08
14,Toronto,VStudio,1,7.01
14,Toronto,VStudio,2,5.06
14,Toronto,VStudio,3,12.28
14,Toronto,VStudio,4,19.18
15,Toronto,VStudio,1,3.05
15,Toronto,VStudio,2,7.44
15,Toronto,VStudio,3,5
15,Toronto,VStudio,4,9.2
16,Toronto,VStudio,1,15.68
16,Toronto,VStudio,2,4.82
16,Toronto,VStudio,3,11.42
16,Toronto,VStudio,4,3.31
17,Toronto,VStudio,1,5.92
17,Toronto,VStudio,2,5.14
17,Toronto,VStudio,3,14.2
17,Toronto,VStudio,4,6.4
18,Toronto,VStudio,1,3.22
18,Toronto,VStudio,2,15.85
18,Toronto,VStudio,3,15.51
18,Toronto,VStudio,4,7.15
19,Toronto,VStudio,1,6.87
19,Toronto,VStudio,2,8.78
19,Toronto,VStudio,3,5.55
19,Toronto,VStudio,4,8.33
20,Toronto,VStudio,1,5.07
20,Toronto,VStudio,2,7.2
20,Toronto,VStudio,3,15.43
20,Toronto,VStudio,4,7.5
1,Michigan,Nobugs,1,5.52
1,Michigan,Nobugs,2,6.08
1,Michigan,Nobugs,3,6.22
1,Michigan,Nobugs,4,4.6
2,Michigan,Nobugs,1,5.65
2,Michigan,Nobugs,2,7.05
2,Michigan,Nobugs,3,4.38
2,Michigan,Nobugs,4,6.57
3,Michigan,Nobugs,1,4.22
3,Michigan,Nobugs,2,2.76
3,Michigan,Nobugs,3,8.67
3,Michigan,Nobugs,4,4.2
4,Michigan,Nobugs,1,7.93
4,Michigan,Nobugs,2,6.4
4,Michigan,Nobugs,3,4.22
4,Michigan,Nobugs,4,5.1
5,Michigan,Nobugs,1,6.01
5,Michigan,Nobugs,2,5.56
5,Michigan,Nobugs,3,4.52
5,Michigan,Nobugs,4,2.63
6,Michigan,Nobugs,1,9.15
6,Michigan,Nobugs,2,3.32
6,Michigan,Nobugs,3,8.93
6,Michigan,Nobugs,4,4.01
7,Michigan,Nobugs,1,9.05
7,Michigan,Nobugs,2,7.87
7,Michigan,Nobugs,3,5.09
7,Michigan,Nobugs,4,7.1
8,Michigan,Nobugs,1,4.79
8,Michigan,Nobugs,2,8.16
8,Michigan,Nobugs,3,4.68
8,Michigan,Nobugs,4,4.55
9,Michigan,Nobugs,1,12.13
9,Michigan,Nobugs,2,9.41
9,Michigan,Nobugs,3,9.07
9,Michigan,Nobugs,4,5.35
10,Michigan,Nobugs,1,7.9
10,Michigan,Nobugs,2,8.39
10,Michigan,Nobugs,3,2.41
10,Michigan,Nobugs,4,8.05
11,Michigan,VStudio,1,6.45
11,Michigan,VStudio,2,13.05
11,Michigan,VStudio,3,6.68
11,Michigan,VStudio,4,12.31
12,Michigan,VStudio,1,7.09
12,Michigan,VStudio,2,11.41
12,Michigan,VStudio,3,6.65
12,Michigan,VStudio,4,7.95
13,Michigan,VStudio,1,6.11
13,Michigan,VStudio,2,14.17
13,Michigan,VStudio,3,7.72
13,Michigan,VStudio,4,15.14
14,Michigan,VStudio,1,8.52
14,Michigan,VStudio,2,13.4
14,Michigan,VStudio,3,8.92
14,Michigan,VStudio,4,3.59
15,Michigan,VStudio,1,7.67
15,Michigan,VStudio,2,6.1
15,Michigan,VStudio,3,10.64
15,Michigan,VStudio,4,12.94
16,Michigan,VStudio,1,17.44
16,Michigan,VStudio,2,9.55
16,Michigan,VStudio,3,8.46
16,Michigan,VStudio,4,3.53
17,Michigan,VStudio,1,7.32
17,Michigan,VStudio,2,20.68
17,Michigan,VStudio,3,7.2
17,Michigan,VStudio,4,12.46
18,Michigan,VStudio,1,6.8
18,Michigan,VStudio,2,5.83
18,Michigan,VStudio,3,10.07
18,Michigan,VStudio,4,4.7
19,Michigan,VStudio,1,17.53
19,Michigan,VStudio,2,5.16
19,Michigan,VStudio,3,6.58
19,Michigan,VStudio,4,5.51
20,Michigan,VStudio,1,21.19
20,Michigan,VStudio,2,5.77
20,Michigan,VStudio,3,16.99
20,Michigan,VStudio,4,5.97
